gene,fg,bg,ratio,p,LRT,tested,informative,outliers,p_UT,LRT_UT
AARS2,0.6279880801949606,0.6555064531297231,0.9580196765365531,0.6089871705759347,0.2616524429540732,6,0,0,0.003676262645021966,17.47850425578508
AASDH,1.061002145598754,0.9954450053235854,1.0658571191020825,0.298429132627266,1.081200583095779,6,0,1,3.445345897468144e-09,48.06481260986766
AASDHPPT,0.3310279243140776,0.3511822779469244,0.9426099923074911,0.7715817820717061,0.08427785220919759,6,0,0,0.01048212329786047,14.9721218855957
AASS,0.4474153188064211,0.4293330673397454,1.0421170714352794,0.6835715240158011,0.1661331419672933,6,0,0,0.1142993447227414,8.871531906501332
AATF,0.6276976477693633,0.5922548830889649,1.059843769452002,0.606409754965894,0.2654362222820055,6,0,0,0.07179362915104581,10.12412583504556
AATK-AS1,2.157531944746706,3.552244605565035,0.6073714465965161,0.1982722061268991,1.655055786210141,2,0,0,0.02444687770550025,5.06264657722204
AATK,1.65258952936522,1.343444712914563,1.230113538338304,1.342925618275093e-05,18.94853211796726,6,3,0,6.578925182409989e-10,51.57969484676141
AB209621,5.788188142107659,4.316651611014469,1.340897682671074,0.03596900692278682,4.398573409994242,5,0,0,0.6918446427516693,2.2392804398105
AB231702,4.118786729416962,4.566729557299279,0.9019116805009082,0.5362100650976657,0.3826093295774626,3,0,0,0.006474605172213765,10.07973530114396
AB231705,2.80228071300982,1.977428045278735,1.4171340998730577,0.002609441609747631,9.062225632715126,6,0,1,0.08401034023324006,9.70590362913208
AB429224,5.760851565123379,4.117686087937329,1.3990506906292994,0.06477630575302684,3.410665810609316,4,0,1,0.003260723301332424,13.75343614092253
ABAT,0.4079868464400904,0.2791196743289426,1.461691467722472,0.01615325148151203,5.786114684697168,6,0,0,0.3350961953443116,5.713556385140691
ABCA1,0.2568820432005168,0.2425834876713994,1.0589428228045183,0.4959120260525842,0.4636737535111024,6,5,1,0,109.2257752681471
ABCA10,3.527846133051765,2.245461182487364,1.571100921523776,0,119.4798434596014,6,4,0,0,150.3353225640749
ABCA12,0.4347688909572518,0.433341562724087,1.0032937718325292,1,-0.000860479412949644,6,0,0,3.189339846298989e-05,28.29340762771608
ABCA13,1.860815120296141,1.755923773394573,1.0597357063506183,0.01115170589542103,6.44098079012474,6,5,0,0,257.3233952986775
ABCA2,0.3433580145257282,0.3292045986733332,1.0429927647105541,0.6161538541166529,0.2513104543977533,5,5,0,0,108.5903149761507
ABCA3,0.8066524903304707,0.5674953759457526,1.4214256618146952,4.805455477985277e-09,34.26665373998549,6,4,0,0,117.7664125569499
ABCA5,0.3186804984054987,0.391690328300362,0.8136031844041941,0.01245637616938378,6.244724407421018,6,0,0,0.6869333266441962,3.084674048237503
ABCA6,1.480577816389366,1.494349180456531,0.9907843733932669,0.8430668512698977,0.03919297333050054,6,0,1,1.843368301446269e-05,29.50749261969759
ABCA7,1.974293881174713,1.294061968968266,1.5256563661698401,2.220446049250313e-16,67.26306770936935,5,2,0,0,353.9846963962918
ABCA8,2.361084029165635,1.708033208106812,1.3823408221568867,5.595524044110789e-14,56.50715444449452,5,5,0,0,317.6452583241044
ABCA9,1.034512114592012,1.188166706661685,0.870679264779783,0.004516200991023567,8.063654097437393,6,1,1,0.0001616657590767234,24.66536981562967
ABCB1,0.5988130640650319,0.6730098876491435,0.8897537392158015,0.1258447392270549,2.343027813723893,6,0,0,0.2931337678612083,6.136806724971393
ABCB10,1.502098263304695,0.9266694866294308,1.620964416092158,4.76929602588605e-07,25.35493933967882,6,2,0,3.492735479726505e-07,38.16697936565106
ABCB11,0.715990660515197,0.5888289757819032,1.2159569076308387,0.005069218844302115,7.854577807353053,6,2,0,8.137682527831203e-08,41.30599252937827
ABCB4,0.4961891106465162,0.4435413308259684,1.1186987010263654,0.1611131972465634,1.963746556284605,6,0,1,3.43840534211548e-06,33.19750172916974
ABCB5,0.8611505837950693,0.6732308726213433,1.2791311551741937,0.0001116706170427584,14.92837626609253,6,0,1,0,95.49260139434773
ABCB6,0.5932796250576278,0.5374781065233388,1.1038210075108723,0.3115908577791321,1.023920497798827,6,0,0,2.432846349542661e-05,28.89365147831631
ABCB7,0.3726918030504444,0.3837046461942616,0.971298645317311,0.8127612815721743,0.05610517585591879,6,0,0,0.2036065046667983,7.236943185165728
ABCB8,0.5170266679890301,0.7848998468641747,0.6587167395364526,7.612227220299417e-05,15.6522422924063,6,0,1,0.1245396591598324,8.63498029078255
ABCB9,0.3991292212201734,0.3539079801702458,1.127776833481331,1,-63.21648403408835,6,2,0,0,119.0272966720149
ABCC1,0.4866964380848224,0.4606454948731997,1.0565531270826682,0.4812363599847106,0.4960602234204998,6,0,0,0.0006307085707401017,21.57424767853081
ABCC10,0.5711869958675129,0.6857316060969229,0.8329599959940887,0.01078337903311088,6.50067097399733,6,0,1,0.0001772722341425448,24.45766319734685
ABCC11,2.306280025757974,1.579985387187,1.4596844024387252,3.075317778211684e-14,57.6875813229999,5,2,0,2.042699343007826e-12,60.72469632182037
ABCC12,0.5818733369782673,0.7637788750551314,0.7618348136903711,9.585160052338892e-05,15.21670819788415,6,1,1,2.202432758391382e-08,44.1077648354476
ABCC13,0.8822635129035844,1.278047594974057,0.6903213279169728,0.02080092145896506,5.343395256064468,4,0,0,0.1580096788027059,5.195782289432827
ABCC2,0.93850061530148,0.8599990932598706,1.0912809358252291,0.1172040206514242,2.454291788308183,6,3,0,2.288612188650063e-09,48.93460252304794
ABCC3,1.43396133008511,0.8841609131511988,1.621832981707359,0,93.20745237817755,6,5,0,0,259.4837329310394
ABCC4,0.5126387994664515,0.5481650661420442,0.9351905678236219,0.3982636209246012,0.713562676042784,6,3,0,1.067923527386938e-12,65.10101183562801
ABCC5,0.1484406822088082,0.2261795193202431,0.6562958602747492,0.001263567454655168,10.39500371733811,5,0,0,0.1155725481229481,7.413765313187469
ABCC6,1.006669094127278,1.08734780434255,0.9258022962909708,0.1785214941008376,1.809889432741329,6,0,1,0.000175154360594787,24.48476398685307
ABCC6P1,1.232176038445717,1.446252189458163,0.8519786849258638,0.1442342406691015,2.132193337823992,6,0,0,0.4644621029399897,4.61640032782816
ABCC6P2,2.333662059117362,2.010356133883039,1.1608202247279698,0.4762744088764974,0.5073819099479806,5,0,0,0.4872449830571787,3.438798433324337
ABCC8,0.1769587910759922,0.1984226195621273,0.8918277133247167,0.3312368997729264,0.9440560813927732,6,0,1,0.004016011250898011,17.26952340191929
ABCC9,0.1279806455242428,0.1050081172258014,1.21876907143324,0.1889293532471484,1.725946833168564,6,0,0,0.4128801985757583,5.024642476513691
ABCD1,0.4690724253735096,0.4027687737366815,1.1646196427337128,0.204775327764194,1.607984664387914,5,0,1,6.930070190258597e-06,29.25750594709461
ABCD2,0.4209267376148748,0.2903702688936877,1.4496206488997925,0.002430187198094513,9.192424980494252,6,0,1,0.002262528556076893,18.61926120569115
ABCD3,0.2522453984666817,0.1755436803536369,1.4369380769420315,0.0292056886717611,4.755448033789435,6,0,0,0.1480537918474045,8.152026294006646
ABCD4,0.4231107341201895,0.4942913246002738,0.8559946595509298,0.2173744122464253,1.521620604096825,6,0,0,0.6519397553037727,3.312426368007436
ABCE1,0.04019247117413958,0.03191151641586001,1.2594973755043475,0.5870315673899291,0.29500397294305,6,0,1,3.342006738016323e-08,43.2151549890059
ABCF1,0.3734735387089683,0.2337202603473487,1.5979510640366483,0.004308392203724143,8.14904171910166,5,0,1,0.0009776824939844442,18.51684979659694
ABCF2,0.1130958154306914,0.092153594582891,1.2272534342538655,0.4184864059146901,0.654561848558842,6,5,1,1.938845817228696e-08,44.38037302886096
ABCF3,0.08370957030097792,0.1514865561267572,0.5525874535753091,0.008808198860958405,6.861309215999427,6,0,0,0.7393066312905312,2.744485436103787
ABCG1,0.1859301638758235,0.1787894731116822,1.0399391006632746,0.8424719989230992,0.0394946069791331,6,0,0,0.1405616134824452,8.297947826144082
ABCG2,0.9471852865394529,0.8775156134233656,1.0793942262113057,0.3879194734086312,0.7454536097466189,6,0,0,0.001978638422949097,18.93243092168996
ABCG4,0.1884933294841545,0.2039394439596312,0.9242612700339902,0.671338617064482,0.180040291401383,6,0,0,0.4017414814059058,5.117230875446694
ABCG5,0.815162773549122,0.9380004300300044,0.8690430701860625,0.1162695972156,2.466865354494075,6,0,0,0.05646226101579899,10.7548918279208
ABCG8,0.7863914211202854,1.001344028405882,0.7853359073526442,0.006813517779595379,7.321482684048533,6,0,0,0.04075727682852737,11.59636310830683
ABHD1,1.116906193199457,1.139410033354099,0.9802495682011882,0.8426804219239528,0.03938878450207994,6,0,1,0.009276807069456772,15.26793093734159
ABHD10,1.086369295006913,0.968723484025673,1.1214441612299368,0.3496315592739161,0.8747939183049311,6,0,0,0.4028692871919588,5.107775884396688
ABHD11,1.06830980541762,1.385064122929544,0.7713071097084242,0.02412047222201141,5.085949017928215,6,0,0,0.05008677605781719,11.06601092958226
ABHD12,0.4145047042910961,0.4429772076777534,0.9357246763644558,0.7213139757037772,0.127237205284473,5,0,0,0.1969064397476166,6.030170282550898
ABHD12B,1.277486344291487,1.039040542753119,1.2294865231211904,0.0616723505294049,3.491830649774784,6,0,1,0.004547438207022081,16.97500877073981
